Name,Company directorships and controlling interests,Other companies and business entities,Employment,Beneficial interests in and trusteeships of trusts,Organisations and trusts seeking Government funding,Real property,Retirement schemes,Managed investment schemes,Debts owed to you,Debts owed by you,Overseas travel costs,Gifts,null,Payment for activities
Simon O'Connor,"Aristotelian Trust Limited - trustee company","","","Aristotelian Trust (trustee and beneficiary)","","Rental property (owned by retirement scheme) - Auckland|Apartment (owned by trust) - Wellington","ASB KiwiSaver|Aristotelian Superannuation Scheme","ASB Investment Fund - ASB Bank","","ASB Bank - mortgage","USA - conference. Contributor to travel and accommodation: IPAC Global|Limited.","","",""
Ibrahim Omer,"","","","","","","SuperLife KiwiSaver Scheme","","","EFCO Limited - personal loan for five years","","","",""
Sarah Pallett,"","","","","","House - North Canterbury|Apartment (jointly owned) - Wellington|House (jointly owned) - Queenstown surrounds","Westpac KiwiSaver","","","ASB Bank - mortgages (x2)","","","",""
David Parker,"","Arapawa Island Forest Partnership - forestry|BLIS Technologies Limited - health products|Fund Managers Holdings Limited - fund manager holding company|Pharmazen Limited - animal remedies / food extracts / functional foods|SES S.A. - Europe-based satellite company|ArcActive Limited - battery development","","Karitane Trust (beneficiary)","","Holiday home (owned by trust) - Karitane, Otago|Home (1/2 share) - Auckland","DWP Superannuation Scheme|ANZ KiwiSaver","Obsidian Group Limited (contributory mortgages)","","","Thailand - APEC FMM. Contributor to accommodation: Ministry of Finance,|Thailand.","","",""
Soraya Peke-Mason,"Land Trust Management Services Limited - land trust administrators","","","Ngaporo Waimarino Forest Trust (trustee and beneficiary)|Atihau Incorporation (beneficiary)|Morikau Incorporation (beneficiary)|Hohepa Taiaroa & Te Aurere Waretini Whanau Whenua Trust (trustee and|beneficiary)|Various Māori whenua trusts (beneficiary)","Whanganui Regional Health Network - delivering healthcare and wellbeing|services","Whānau home - Rātana|Various Māori land blocks - Aotea and Hauraki / Waikato","ANZ KiwiSaver","Smartshares Asia Pacific Exchange Traded Fund|Smartshares Australian Top 20 Exchange Traded Fund|Smartshares Emerging Markets Exchange Traded Fund|Smartshares Europe Exchange Traded Fund|Smartshares NZ Top 50 Exchange Traded Fund|Smartshares US 500 Exchange Traded Fund","","","","","","Payment for project management work - Whanganui Māori Regional Tourism|Organisation"
Chris Penk,"","","","The Barkley Trust (trustee and beneficiary)","","Family home (owned by The Barkley Trust) - Waitakere, Auckland","Australian Defence Force Superannuation Scheme|Booster KiwiSaver","Synergy Investments - Consilium Limited","","SBS Bank - home loans","","","",""
Tama Potaka,"Parininihi ki Waitōtara Incorporation (and related businesses) - Māori investment|(mainly farming)|Te Arawa Group Holdings (and related businesses) - tribal investment|Ngāi Tai Hāpai General Partner Limited - property investment|Ngāi Tai Hāpai Development General Partner Limited - property investment","Aka & Associates Limited - consulting|TriMāori Corporate Trustee Limited - charity events","","Karioi Nui Trust (independent trustee)|Tatau Tatau Trust (Rangitīkei whānau; trustee and beneficiary)|S M Paul Whānau Family Trust (trustee)|Tama William Potaka and Ariana Maria Paul Whānau Family Trust (trustee and|beneficiary)|Sina James (nee Chase) Whānau Trust (trustee and beneficiary)|Te Pihopatanga o Aotearoa Trust Board (trustee)","Parininihi ki Waitōtara Incorporation (and subsidiaries) - Māori investment|(mainly farming)|Te Arawa Group Holdings Limited (and subsidiaries) - tribal investment","Family home (in family trust) - Hamilton|Family home (jointly owned) - Auckland|Rental property (jointly owned) - Auckland|Family farm (in Tatau Tatau Trust) - Rangitīkei","Simplicity KiwiSaver|Fidelity 401k","Private equity investments - Pioneer Capital","","ASB Bank - mortgage","","Tickets (x2) and hospitality for Hamilton sevens rugby tournament 2023 - New|Zealand Rugby Union","","Payment for work as Treaty negotiator - Mōkai Pātea Waitangi Claims Trust"
Willow-Jean Prime,"","Turoa Holdings - farming|Whanau Whakatupu - property development","","","Waikare Marae Trustees - management of marae|Waikare Māori Committee - management of hapū and community|Waitangi National Trust Board - manage the day-to-day operations of the|Waitangi Treaty Grounds and wider estate","Family home (jointly owned) - Pakaraka, Northland","AMP KiwiSaver","","","ASB Bank - mortgage","","","",""
Maureen Pugh,"Pugh Contracting Limited - construction|JMS Partnership - beef and sheep farm","","","","Westland Industrial Heritage Park - restoration of vintage machinery","Family home - Turiwhate|Farm - Turiwhate|Timeshare - Boambee Bay, New South Wales, Australia","Fisher Funds superannuation scheme","","","","","","",""
Priyanca Radhakrishnan,"","","","","","Family home (jointly owned) - Onehunga, Auckland","ANZ KiwiSaver - ANZ New Zealand Investments Limited","","DBS Bank, Singapore - joint bank account","ANZ Bank - mortgage","","Ticket to ICC Women's Cricket World Cup 2022 match - ICC Women's Cricket|World Cup|Pandora bracelet - Christchurch mosque attack widows|Tickets (x2) to Big Sing concert, Auckland - The NZ Choral Federation|Tickets (x2) to Auckland Theatre Company Dawn Raids play - Auckland Theatre|Company|VIP ticket to Fieldays - Fieldays|Carved wooden jewellery box - Minister S. Jaishankar, Indian Minister of|External Affairs","",""
Shane Reti,"Reti Holdings Limited - medical consulting and property investment|Reti Contracting Limited - building construction|Winged Victory Limited - property investment","Whangarei Doctors Limited - medical services|Primecare Kensington Services Limited - medical services|SJ & CJ Reti Family Trust Partnership - investment management|Rocketlab Limited","Reti Holdings Limited - medical consulting|Self-employed - medical consulting","Shane Reti Trust (trustee)|Christine Reti Family Trust (trustee and beneficiary)|Reti Philanthropic Foundation (trustee)","Waitangi National Trust - tourism|Northland Hockey Association - hockey activities","Commercial building - Whangārei|Rental property - Kohimārama|Residential property - Whangārei|Residential property - Far North","","","","ASB Bank - mortgages|ASB Bank - flexible finance credit facility","","","",""
Angela Roberts,"","","","Crispin Roberts Trust (beneficiary)","","Family home (jointly owned) - Tāriki, Taranaki|Family bach - Waverley Beach, South Taranaki","Simplicity KiwiSaver - Simplicity NZ Limited","","","","","","",""
Grant Robertson,"","","","KMKT Trust (trustee)","","Family home (jointly owned) - Northland, Wellington","Bank of New Zealand KiwiSaver|New Zealand Retirement Trust (Resolution)","","","ANZ Bank - mortgage","","Tickets and hospitality (4 games, Women's Cricket World Cup) - International|Cricket Council, 2022 Womens World Cup Local Organising Committee|Tickets and hospitality (3 games, women's Rugby World Cup) - World Rugby,|Rugby World Cup 2021 Limited|Tickets and hospitality (ASB Classic Men's Tennis) - Auckland Tennis","",""
Dan Rosewarne,"","Savor Limited - hospitality / consumer services","","","","Family home (jointly owned) - Woodend, Canterbury","Kiwi Wealth KiwiSaver|New Zealand Defence Force Superannuation Scheme (category B) - Mercer (NZ)|Limited","New Zealand Defence Force FlexiSaver Fund - Mercer (NZ) Limited|Crypto currency managed fund - Crossgate Capital Limited","","Kiwibank - mortgage","Australia - Security Conference. Contributor to travel and accommodation:|Konrad-Adenauer-Stiftung.","Ticket to All Blacks vs Argentina rugby game at Orangetheory Stadium - New|Zealand Rugby Union|Engraved boning knife - Silver Fern Farms Limited","",""
Adrian Rurawhe,"","The a2 Milk Company Limited - dairy|Air New Zealand Limited - aviation|AMP Limited - financial services|Fisher & Paykel Healthcare Corporation Limited - manufacturer|Fletcher Building Limited - construction|Genesis Energy Limited - energy|Manawa Energy Limited - energy","","Waipu Trust (trustee and beneficiary)|Rakaia Incorporation (beneficiary)","","Family home (jointly owned) - Whangaehu|Interests in 26 Māori land blocks in the Aotea District|Interests in one Māori land block in the Tai Tokerau District|Interests in two Māori land blocks in the Tākitimu District|Interests in 11 Māori land blocks in the Waipounamu District|Interests in Waipū general land block - Rātana Paa","AMP KiwiSaver|Fidelity Super-Super Plan Number 3 - Booster Investment Management Limited","NZ Top 50 Exchange Traded Fund - Smartshares Limited","Kiwibank - bank deposit","","","Tickets (x2) and hospitality for All Blacks v Australia rugby game - New Zealand|Rugby","",""
Deborah Russell,"","","","New Zealand Business and Parliament Trust (trustee)","","Family home (jointly owned) - Titirangi, Auckland|House (jointly owned) - Karori, Wellington","Simplicity KiwiSaver|UniSaver (New Zealand) Superannuation Scheme - Mercer (NZ) Limited|UniSuper (Australia) Superannuation Scheme - UniSuper Management Pty|Limited","","","ASB Bank - mortgage (jointly held)","","","",""
Eugenie Sage,"","","","","","Family home (jointly owned) - Diamond Harbour, Christchurch|Vacant residential section (jointly owned) - Beckenham, Christchurch|Vacant rural land, 8.8 hectares (jointly owned) - Buller, West Coast","AMP KiwiSaver","","Kiwibank - term deposits","","","","",""
Jenny Salesa,"","Praescient Limited - rental property","","","","Family home (jointly owned) - Auckland|Rental property (owned by Praescient Limited) - Auckland|Apartment (jointly owned by Kaha'u Superannuation Fund) - Auckland|Apartment (jointly owned by Kaha'u Superannuation Fund) - Wellington|Two acres of land (owned by 99-year lease) - Haveluloto, Tonga","401(k) Fidelity superannuation scheme, United States of America|401(k) John Hancock superannuation scheme, United States of America|Tower KiwiSaver|TIAA-Cref retirement account, United States|Kaha'u Superannuation Fund","","","Kiwibank - mortgage","Qatar - representing the New Zealand Government at Doha Forum on behalf of|the Minister of Foreign Affairs. Contributor to accommodation: Qatar|Government.","","",""
Carmel Sepuloni,"Jet-X NZ Limited - waterblasting|Jet-X Christchurch Limited (not operating; shares from Jet-X Limited) -|waterblasting|Jet-X Wellington Limited - waterblasting|VESS 2013 Limited - property rental","","","R & T Severin Trust (trustee and beneficiary)|The Severins Trust (trustee and beneficiary)","","Family home - Titirangi|Real property|Family home (owned by trust) - Shirley, Christchurch|Rental property (owned by company) - Shirley, Christchurch|Commercial property (owned by trust) - Alicetown, Lower Hutt|Land for building (owned by trust) - Tekapō","Westpac KiwiSaver|Retirement schemes|Mercer KiwiSaver","","VESS 2013 Limited - money owed to R & T Severin|R & T Severin Trust - money owed to R & T Severin|Jet-X Wellington Limited - business purchase (home loan) against family home|The Severins Trust - money owed to R & T Severin","Westpac Bank - mortgage|Debts owed by you|ANZ Bank - mortgages|Spider Properties Limited - commercial property purchase","","Tickets (x2) and corporate hospitality for Billy Joel concert - Eden Park Trust|Toni Severin (ACT, List)","",""
David Seymour,"","","","BH & VA Seymour Family Trust (beneficiary)|Beachcomber Trust (beneficiary)|Frere Trust (beneficiary)","","Residential home (as discretionary beneficiary of trust) - Whangārei|Holiday home (as discretionary beneficiary of trust) - Northland|Section (as discretionary beneficiary of trust) - Whangārei|Residential home (as beneficiary of trust) - Auckland","Oakura Superannuation Scheme|ASB KiwiSaver","","Frere Trust - loan","ASB Bank - mortgage","","","",""
James Shaw,"","","","","","Family home (jointly owned) - Wellington","Booster KiwiSaver Socially Responsible Growth Fund","Consilium NZ Limited - Synergy Investments","","Westpac Bank - mortgage","","","",""
Penny Simmonds,"","","","EM Simmonds Trust (trustee and beneficiary)|Penny Simmonds Family Trust (trustee and beneficiary)","","Family home and farm (jointly owned) - Mabel Bush and Ryal Bush, Southland|Family cribs (x3; owned by family trust) - Riverton, Southland|Rental property (owned by family trust) - Invercargill","AMP KiwiSaver","","","","","","",""
Scott Simpson,"Amare Properties NZ Limited - commercial property","","","New Chums Trust (open space covenant trust; beneficiary)","","Land (owned by New Chums Trust) - Whangapoua, Coromandel|Family home - Thames|Rental property - Remuera, Auckland|Family home - Kūaotunu, Coromandel","ASB KiwiSaver|AMP Personal Superannuation Scheme","Balanced Fund - ASB Investment Funds","ASB Bank - bank deposit","","","","",""
Aupito William Sio,"Win-Win Investments Limited - property","","","","","Home - Māngere Bridge, Auckland","IRIS Superannuation - SuperLife|Booster KiwiSaver","","","ANZ Bank - mortgage","","","",""
Damien Smith,"TMG International Limited - business advisory services (growth companies and|start-ups)|Scalata Limited - business and finance advisory services","MSL UK (private company; not incorporated) - microbiological soil products to|the farming and growing industries|MSL Australia (private company; not incorporated) - microbiological soil|products to the farming and growing industries","","Damien Smith Trust (trustee and beneficiary)","","","Westpac KiwiSaver","","","","","","",""
Stuart Smith,"","Chorus Limited (in trust) - communications|Contact Energy Limited (in trust) - electricity generation|Delegat Group Limited (in trust) - wine","","","","","","","","","","","",""
Ebos Group Limited,"","Freightways Limited (in trust) - transport operator|Genesis Energy Limited (in trust) - electricity generator|Heartland Group Holdings Limited (in trust) - financial services|Mainfreight Limited (in trust) - logistics|Meridian Energy Limited (in trust) - electricity generation|NZX Limited (in trust) - markets and trading|Oceania Healthcare Limited (in trust) - healthcare, hospitals, and retirement|homes|Restaurant Brands New Zealand Limited (in trust) - hospitality|Ryman Healthcare Limited (in trust) - retirement villages|Scales Corporation Limited (in trust) - fruit and vegetable logistics|Skellerup Holdings Limited (in trust) - rubber manufacturing|Spark New Zealand Limited (in trust) - telecommunications|Vector Limited (in trust) - electricity and gas distribution|Amazon.com Incorporated (in trust) - e-commerce, cloud computing, digital|streaming, and artificial intelligence|Microsoft Corporation (in trust) - software products, services, and devices|Alibaba Group Holding Limited (in trust) - internet infrastructure, electronic|commerce, online financial, and internet content services|Berkshire Hathaway Incorporated Class B (in trust) - insurance, rail|transportation, energy generation, and distribution, manufacturing, and retailing|Thermo Fisher Scientific Incorporated (in trust) - develops, manufactures, and|sells a range of products|Visa Incorporated Class A (in trust) - electronic payments|Nestlé (in trust) - food and drink processing|Dry Hills Services Limited (in trust) - irrigation scheme related to member's|family home|APA (in trust) - petroleum industry|BlackRock Greater EU Investment Trust (in trust) - investment|CSL (in trust) - biotechnology|My Food Bag (in trust) - food sales|Cleanaway Waste Management Limited - sustainable waste management|Ramsay Health Care Limited - healthcare|ResMed - medical devices|Transurban (stapled securities) - transport networks|Ryman Healthcare (rights renounceable) - retirement villages","","Tayler-Smith Family Trust (trustee and beneficiary)|The Creswell Jackson New Zealand Wine Trust (trustee)","","Family home (owned by Tayler-Smith Family Trust) - Dry Hills, Blenheim|Apartment (owned by Tayler-Smith Family Trust) - Thorndon, Wellington|Timeshare week (owned by Tayler-Smith Family Trust) - Queenstown Mews|Rental property (owned by Tayler-Smith Family Trust) - Redwood, Blenheim|Apartment (half-share owned by Tayler-Smith Family Trust) - Frankton,|Queenstown","Kiwi Wealth KiwiSaver","","Tayler-Smith Family Trust - term loan*","","","","",""
Lemauga Lydia Sosene,"","","","","Māngere Community Law Centre - community legal services","Family home (jointly owned) - Favona, Māngere, Auckland","ASB State Sector Retirement Savings Scheme - Smartshares Limited|Westpac KiwiSaver","","V Sosene - personal loan (home loan) against family home","Westpac Bank - mortgage","","","",""
Erica Stanford,"","","","Poppelbaum Family Trust (beneficiary)","","Family Home - Ōkura|Residential property, holiday home (owned by parents' family trust) -|Whangamatā","SuperLife KiwiSaver - Smartshares Limited|Ōkura Superannuation Scheme - Cliffe Consulting Limited","","","HSBC - mortgage on family home","","Tickets (x2) to Blackcaps cricket match (November 2022, Auckland) - ANZ Bank","",""
Jamie Strange,"","","","","","Family home (jointly owned) - Hamilton|Apartment (jointly owned by superannuation scheme) - Wellington","Simplicity KiwiSaver|SuperSix Superannuation Scheme","","","","","","",""
Chlöe Swarbrick,"","","","","Community Groups Feeding the Homeless Incorporated - facilitating community|building and providing hot meals for people in the Auckland Central city region,|especially those experiencing homelessness","Apartment (jointly owned) - Auckland Central","Pathfinder KiwiSaver Growth Fund","","","Sovereign - home loan / mortgage","","","",""
Jan Tinetti,"Etools Limited - domain name management","","","Merton Tinetti Family Trust (trustee and beneficiary)","","Family home - Mātua, Tauranga|Apartment - Wellington Central","Fisher Funds KiwiSaver|AMP Retirement Scheme","","","ANZ Bank - mortgage","","","",""
Rino Tirikatene,"","The Proprietors of Mawhera Incorporation - commercial property|Cerulina Limited - commercial fishing vessel owner","","Te Rino Tirikatene Whānau Trust (trustee and beneficiary)","","Vacant land (no dwelling) - Rātana Pā|Interests in various South Island Māori land blocks - North Canterbury, South|Westland, Southland","Ironridge Superannuation Scheme|Milford Asset Management KiwiSaver","","","","","FFC ministerial meeting cultural gifts and conference pack (Kiribati) - Forum|Fisheries Agency|Cultural gifts: traditional spear and ornamental waka (Cook Islands) - Minister|Vaine (Mac) Mokoroa|Cultural gift: Aboriginal malgarr shield (Melbourne) - First Peoples International|Business Forum","",""
Teanau Tuiono,"","","","","","Family home (jointly owned) - Manawatū|Whānau home (jointly owned) - Manurewa","Simplicity KiwiSaver","","","","","","",""
Phil Twyford,"","","","Twyford and Easingwood Family Trust (trustee and beneficiary)","","Family home (owned by family trust) - Te Atatū Peninsula","Fisher Funds TWO KiwiSaver","","","ASB Bank - mortgage on family home","","","",""
Sam Uffindell,"New Zealand Humates Limited - soil conditioner manufacture and supply|New Zealand Carbon Company Limited - soil conditioner manufacture and|supply","","","Julia Julian Trust (trustee and beneficiary)","New Zealand Humates Limited - soil conditioner manufacture and supply","Family home (owned by trust) - Paengaroa","","","","","","","",""
Louise Upston,"","Rocket Lab USA Incorporated - manufacture of commercial rocket launchers|Cannasouth Limited - biopharmaceutical research and development|Rakon Limited - design and manufacture of frequency control solutions|TruScreen Limited - development, manufacture, and sale of cancer detection|devices and systems|Mercury NZ Limited - generator and retailer of electricity","","","","Family home (jointly owned) - Cambridge|Apartment (jointly owned) - Wellington","Fisher Funds KiwiSaver","Pathfinder Global Property Fund - Pathfinder Asset Management Limited|Smartshares NZ Core Equity Trust - Smartshares Limited","","ANZ Bank - personal loan","Berlin - discussions on foreign and security policy, economic and social policy, as|well as energy policy / bilateral parliamentary relations. Contributor to travel and|accommodation: Konrad Adenauer Foundation (German: Konrad-Adenauer-|Stiftung, KAS) branch office based in Australia.|Thailand - Parliamentary Forum at the International Conference on Family|Planning. Contributor to travel and accommodation: GPA (Global Parliamentary|Alliance).","","",""
Tangi Utikere,"","Air New Zealand - domestic and international travel|Advanced Micro Devices Incorporated - high performance computing technology|Tesla Incorporated - vehicle manufacturer","","","","Family home (jointly owned) - Palmerston North","AMP KiwiSaver|Fidelity Life Independent Retirement Account","Global Property Fund - Pathfinder|Australasian Dividend Fund - PIE Funds|Smartshares Emerging Markets Fund - Vanguard|Fonterra Shareholders Fund - FSF Management Company Limited","","","","Contribution to fees for Institute of Directors course - Parliamentary Education|Charitable Trust","",""
Tim van de Molen,"Caritim Limited - horticulture and agriculture|Kaimai Capital Limited - investment management services|Kaimai Capital Investments Limited - investment|Kaimai Capital Holdings Limited - investment|Kaimai Capital GP Limited - management services","ANZ Banking Group Limited - banking|Hiltim Limited - horticulture and agriculture","","van de Molen Family Trust (trustee and beneficiary)","New Zealand Business and Parliament Trust - educational organisation dedicated|to fostering goodwill and understanding between the business community and|Parliament","Horticultural property (owned by Caritim Limited) - Tamahere, Waikato|Residential houses (x2; owned by van de Molen Family Trust) - Tamahere, Waikato","ASB KiwiSaver","","","","","","",""
Brooke van Velden,"","","","","","Family home - Auckland","ASB KiwiSaver","","ASB Bank - term deposits","ASB Bank - mortgage","","Tickets (x2) to Billy Joel - Eden Park Trust|Tickets (x2) to Macbeth - NZ Opera","",""
Ayesha Verrall,"Three Guineas Limited - property","","","Winston Wikuku Waititi Whanau Trust (trustee and beneficiary)|Oruaiti 2B2 Trust (trustee and beneficiary)","","Family home (jointly owned) - Wellington|Family property (jointly owned) - Malé, Maldives|Real property|Family home (jointly owned) - Whakatāne, Eastern Bay of Plenty","SuperLife KiwiSaver|Fisher Funds Lifesaver|Retirement schemes|Westpac KiwiSaver","Responsible Fund - AMP Capital NZ|Global Responsibility Fund - Pathfinder|Global Water Fund - Pathfinder|Property Fund - Pathfinder|Global Climate Friendly Fund - PIE Funds","","ANZ Bank - mortgage|Rawiri Waititi (Te Paati Māori, Waiariki)|Debts owed by you|Westpac Bank - mortgage","","","",""
Vanushi Walters,"The Current Limited (not actively trading) - consulting","","","Walters Family Trust (beneficiary)","","Family home (jointly owned) - Waitakere, Auckland","MAS Retirement Savings Plan|MAS KiwiSaver","","","ASB Bank - mortgage (table loan)|ASB Bank - mortgage (revolving credit)","","","",""
Angie Warren-Clark,"","AMP - insurance","","Noel Clark Trust (beneficiary)","","Family home (jointly owned) - Tauranga|Rental property (jointly owned) - Tauranga|Plantation pine blocks (owned by trust) - Northland","Kiwi Wealth KiwiSaver|AMP New Zealand Retirement Trust","","","ANZ Bank - mortgages (x2)","Quebec, Canada - conference. Contributor to travel: European Parliamentary|Forum on Sexual and Reproductive Rights. Contributor to accommodation: EPF.|Malaysia - conference. Contributor to travel: Labour Caucus. Contributor to|accommodation: Caucus Fund Asian Social Democrats Group.","Day trip, Malaysia - Tourism Sabuh|Day trip, Malaysia - Asian Social Democrats Group","",""
Simon Watts,"","","","SG & SRA Watts Family Trust (trustee and beneficiary)|Cam & Marg Watts Family Trust (beneficiary)","","Family home (owned by trust) - North Shore|Commercial property (owned by trust) - Cambridge|Holiday home (owned by trust) - Waihī Beach","Milford KiwiSaver|iSelect Superannuation Scheme Trust","","","","","","",""
Duncan Webb,"Duncan Webb Lawyer Limited (not trading) - legal services","","","TA DA Trust (trustee and beneficiary)|Beneficial interests in, and trusteeships of, trusts|Whaitiri Whanau Trust (beneficiary)|Ruruhira Robin Whanau Trust (beneficiary)|Tarewa 4 Ahuwhenua Trust (trustee)|Aroha Te Rangi Ahuwhenua Trust (beneficiary)","","Family home (owned by trust) - Christchurch|Share in family home (owned by trust) - Wellington|Real property|Family home - Hastings|Family home (owned by Whaitiri Whanau Trust) - Gisborne|Interest in blocks of Māori land (beneficiary) - Tai Rāwhiti, Hastings, Himatangi","Kiwi Wealth KiwiSaver|Retirement schemes|AMP KiwiSaver","ANZ Investment Funds - ANZ Bank","","ANZ Bank - mortgage / home loan","","","","Book royalties - LexisNexis New Zealand Limited|Hon Meka Whaitiri (Ikaroa-Rāwhiti)"
Helen White,"","","","Puriri Trust (trustee and beneficiary)","","Home (owned by Puriri Trust) - Sandringham, Auckland","Fisher Funds KiwiSaver","","","","","","",""
Arena Williams,"Te Manu Rewa o Tamapahore Trustee Limited - trustee services","Tiakina Te Ora. Limited - primary healthcare","","Jacqueline Allan Family Trust (beneficiary)","","Family home (jointly owned) - Manurewa, Auckland|Family home (jointly owned) - Te Aro, Wellington","Te Manu Rewa o Tamapahore Superannuation Scheme - Te Manu Rewa o|Tamapahore Trust|MAS Kiwisaver Scheme - Medical Funds Management Limited (NZ)","","","ANZ Bank - mortgage","","","",""
Poto Williams,"","","","Aaron Thomas and Rereao Marsters Family Trust (trustee and beneficiary)","","Home - Waimairi Beach, Christchurch|Blocks of land (Aaron Thomas and Rereao Marsters Family Trust) - Rarotonga|and Manihiki, Cook Islands","KiwiSaver (default scheme) - ANZ Investments Limited","","","Kiwibank - mortgage","","Pounamu pendant - Ngāi Tahu, Office of the CEO, Te Rūnanga o Ngāi Tahu|Pounamu pendant - Poutini Ngāi Tahu|Bone pendant - Hauraki Gulf Forum","",""
Nicola Willis,"","","","Appledore Trust (discretionary beneficiary)","","Family home (jointly owned) - Karori, Wellington|House (owned by Appledore Trust, discretionary beneficiary only) - Kelburn,|Wellington|House (owned by Appledore Trust, discretionary beneficiary only) - Riversdale,|Wairarapa|House (owned by Appledore Trust, discretionary beneficiary only) - Wānaka","Bank of New Zealand KiwiSaver|AMP NZ Retirement Trust","","","","United States of America - Air New Zealand business delegation to New York.|Contributor to travel: Air New Zealand.","Tickets and hospitality to three Wellington Phoenix football matches - Phoenix|Football Club|Two tickets to opening night of the World of WearableArt Show 2022 - World of|WearableArt Organisation|Ticket and hospitality for the women's Rugby World Club final - MasterCard NZ|Conference registration and dinner at the Australia New Zealand Leadership|Forum - Australia New Zealand Leadership Forum|Admission to the Toru Conference and hospitality over two days - Toru|Conference Invitation Panel|Two nights' accommodation at The Dome Accommodation in Napier - The Dome|Accommodation, Napier|Clothing - Yvonne Benetti|Transfers and hospitality during visit to New York - Air New Zealand|Case of Gibbston Valley Wine - Gibbston Valley Winery","",""
Michael Wood,"","Contact Energy - electricity|Auckland International Airport Limited - airport","","JM Fairey Trust (trustee and beneficiary)","","Family home - Mt Roskill","Booster KiwiSaver","","","","","","",""
Michael Woodhouse,"","","","A & M Woodhouse Family Trust (trustee and beneficiary)","","Family home - Andersons Bay, Dunedin|Holiday home - Cromwell, Central Otago|Apartment - Thorndon, Wellington","ANZ KiwiSaver|Highcliff Superannuation Scheme","","A & M Woodhouse Family Trust - loan*","ASB Bank - mortgage","","ASB Classic Women's Finals Day - Tennis Auckland and ASB Classic|ICC Women's Cricket World Cup - New Zealand Cricket|Women's Rugby World Cup semi-final - New Zealand Rugby","",""
