Name,DateTime,Debate_Time
David Parker,2023-03-29 14:47:50,2023-03-29 14:47:50
SPEAKER,2023-07-27 14:55:15,2023-03-29 14:47:50
DAVID PARKER,2023-07-27 18:01:43,2023-07-27 18:01:43
DEPUTY SPEAKER,2023-07-27 18:02:24,2023-07-27 18:01:43
SPEAKER,2023-07-26 14:01:41,2023-07-26 14:01:41
PEENI HENARE,2023-07-26 12:57:01,2023-07-26 12:57:01
ASSISTANT SPEAKER,2023-07-26 12:58:09,2023-07-26 12:57:01
SPEAKER,2023-07-25 14:00:56,2023-07-25 14:00:56
SPEAKER,2023-07-25 14:59:09,2023-07-25 14:59:09
DAVID SEYMOUR,2023-07-25 14:59:50,2023-07-25 14:59:09
CARMEL SEPULONI,2023-07-20 14:01:08,2023-07-20 14:01:08
SPEAKER,2023-07-19 14:48:28,2023-07-19 14:48:28
Dr AYESHA VERRALL,2023-07-19 17:45:36,2023-07-19 17:45:36
ASSISTANT SPEAKER,2023-07-19 17:45:43,2023-07-19 17:45:36
ASSISTANT SPEAKER,2023-07-19 19:15:00,2023-07-19 19:15:00
SIMON COURT,2023-07-19 19:22:46,2023-07-19 19:22:46
ASSISTANT SPEAKER,2023-07-19 19:23:00,2023-07-19 19:22:46
SIMON COURT,2023-07-19 19:23:04,2023-07-19 19:22:46
SPEAKER,2023-07-18 14:03:04,2023-07-18 14:03:04
SPEAKER,2023-07-18 14:59:13,2023-07-18 14:59:13
DAVID PARKER,2023-07-18 15:00:27,2023-07-18 15:00:27
SPEAKER,2023-07-18 15:10:55,2023-07-18 15:00:27
JAN TINETTI,2023-06-29 14:04:00,2023-06-29 14:04:00
GRANT ROBERTSON,2023-06-28 14:00:55,2023-06-28 14:00:55
SPEAKER,2023-06-28 14:04:20,2023-06-28 14:00:55
SPEAKER,2023-06-22 15:06:38,2023-06-22 15:06:38
KELVIN DAVIS,2023-06-22 16:35:29,2023-06-22 16:35:29
SPEAKER,2023-06-21 14:50:43,2023-06-21 14:50:43
SPEAKER,2023-06-21 14:51:28,2023-06-21 14:51:28
SPEAKER,2023-06-21 14:52:09,2023-06-21 14:52:09
SPEAKER,2023-06-20 14:01:04,2023-06-20 14:01:04
BARBARA EDMONDS,2023-06-20 16:27:18,2023-06-20 16:27:18
Dr AYESHA VERRALL,2023-06-20 21:57:45,2023-06-20 21:57:45
RACHEL BROOKING,2023-06-20 21:58:30,2023-06-20 21:58:30
DEPUTY SPEAKER,2023-06-20 21:58:40,2023-06-20 21:58:30
DEPUTY SPEAKER,2023-06-20 21:58:55,2023-06-20 21:58:30
SPEAKER,2023-06-08 14:01:11,2023-06-08 14:01:11
SPEAKER,2023-06-08 14:51:39,2023-06-08 14:51:39
KIERAN McANULTY (Deputy Leader of the House) on behalf of the Leader of the House,2023-06-08 16:22:14,2023-06-08 16:22:14
JAN TINETTI,2023-06-08 16:35:20,2023-06-08 16:35:20
SPEAKER,2023-06-08 16:35:30,2023-06-08 16:35:20
SPEAKER,2023-06-07 14:00:54,2023-06-07 14:00:54
SPEAKER,2023-06-07 14:01:22,2023-06-07 14:01:22
SPEAKER,2023-06-06 14:52:47,2023-06-06 14:52:47
CHAIRPERSON,2023-05-31 21:37:28,2023-05-31 21:37:28
SPEAKER,2023-05-30 14:01:47,2023-05-30 14:01:47
BARBARA EDMONDS,2023-05-30 14:04:27,2023-05-30 14:04:27
ASSISTANT SPEAKER,2023-05-19 10:36:11,2023-05-19 10:36:11
GRANT ROBERTSON,2023-05-18 14:05:41,2023-05-18 14:05:41
TEANAU TUIONO,2023-05-17 19:00:29,2023-05-17 19:00:29
ASSISTANT SPEAKER,2023-05-17 19:00:59,2023-05-17 19:00:29
JAMES SHAW,2023-05-17 21:48:05,2023-05-17 21:48:05
SPEAKER,2023-05-16 14:01:05,2023-05-16 14:01:05
BARBARA EDMONDS,2023-05-16 14:01:27,2023-05-16 14:01:27
CHAIRPERSON,2023-05-16 15:17:53,2023-05-16 15:17:53
Steph Lewis,2023-05-16 15:18:46,2023-05-16 15:17:53
GRANT ROBERTSON,2023-05-10 14:55:37,2023-05-10 14:55:37
SPEAKER,2023-05-10 14:55:48,2023-05-10 14:55:37
GRANT ROBERTSON,2023-05-10 14:56:04,2023-05-10 14:56:04
SPEAKER,2023-05-09 14:01:16,2023-05-09 14:01:16
CHRIS HIPKINS,2023-05-09 14:02:14,2023-05-09 14:02:14
CHRIS HIPKINS,2023-05-09 14:02:48,2023-05-09 14:02:48
SPEAKER,2023-05-09 14:05:46,2023-05-09 14:02:48
MEKA WHAITIRI,2023-05-09 14:11:18,2023-05-09 14:11:18
SPEAKER,2023-05-09 14:11:33,2023-05-09 14:11:18
NICOLE McKEE,2023-05-09 14:11:39,2023-05-09 14:11:39
MEKA WHAITIRI,2023-05-09 14:18:27,2023-05-09 14:18:27
SPEAKER,2023-05-09 14:22:05,2023-05-09 14:18:27
KIERAN McANULTY,2023-05-09 14:22:13,2023-05-09 14:22:13
SPEAKER,2023-05-09 15:30:47,2023-05-09 15:30:47
CHAIRPERSON,2023-05-09 15:32:18,2023-05-09 15:32:18
GRANT ROBERTSON,2023-05-09 19:36:44,2023-05-09 19:36:44
DEPUTY SPEAKER,2023-05-09 19:40:54,2023-05-09 19:36:44
JAN TINETTI,2023-05-09 19:57:14,2023-05-09 19:57:14
SPEAKER,2023-05-04 14:01:06,2023-05-04 14:01:06
MICHAEL WOODHOUSE,2023-05-04 14:03:58,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:07:53,2023-05-04 14:01:06
JAMES SHAW,2023-05-04 14:08:41,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:10:05,2023-05-04 14:01:06
DAVID SEYMOUR,2023-05-04 14:10:45,2023-05-04 14:01:06
GRANT ROBERTSON,2023-05-04 14:10:46,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:11:32,2023-05-04 14:01:06
GERRY BROWNLEE,2023-05-04 14:11:44,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:12:51,2023-05-04 14:01:06
GERRY BROWNLEE,2023-05-04 14:14:07,2023-05-04 14:01:06
GRANT ROBERTSON,2023-05-04 14:14:48,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:15:42,2023-05-04 14:01:06
CHRIS BISHOP,2023-05-04 14:16:54,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:18:00,2023-05-04 14:01:06
GERRY BROWNLEE,2023-05-04 14:19:15,2023-05-04 14:01:06
DAVID PARKER,2023-05-04 14:20:18,2023-05-04 14:01:06
SPEAKER,2023-05-04 14:20:50,2023-05-04 14:01:06
SPEAKER,2023-05-04 15:16:26,2023-05-04 15:16:26
SPEAKER,2023-05-03 14:01:24,2023-05-03 14:01:24
SPEAKER,2023-05-03 14:01:54,2023-05-03 14:01:54
MICHAEL WOODHOUSE,2023-05-03 14:02:06,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:03:55,2023-05-03 14:01:54
MICHAEL WOODHOUSE,2023-05-03 14:04:36,2023-05-03 14:01:54
GRANT ROBERTSON,2023-05-03 14:06:11,2023-05-03 14:01:54
MICHAEL WOODHOUSE,2023-05-03 14:07:03,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:08:19,2023-05-03 14:01:54
CHRIS BISHOP,2023-05-03 14:09:16,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:10:46,2023-05-03 14:01:54
MICHAEL WOODHOUSE,2023-05-03 14:12:12,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:12:32,2023-05-03 14:01:54
DAVID SEYMOUR,2023-05-03 14:12:55,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:13:30,2023-05-03 14:01:54
CHRIS BISHOP,2023-05-03 14:14:07,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:14:35,2023-05-03 14:01:54
DAVID SEYMOUR,2023-05-03 14:14:53,2023-05-03 14:01:54
GRANT ROBERTSON,2023-05-03 14:15:11,2023-05-03 14:01:54
MICHAEL WOODHOUSE,2023-05-03 14:15:36,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:16:44,2023-05-03 14:01:54
GERRY BROWNLEE,2023-05-03 14:17:14,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:17:59,2023-05-03 14:01:54
GERRY BROWNLEE,2023-05-03 14:18:42,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:19:35,2023-05-03 14:01:54
CHRIS BISHOP,2023-05-03 14:20:16,2023-05-03 14:01:54
DAVID SEYMOUR,2023-05-03 14:21:54,2023-05-03 14:01:54
GRANT ROBERTSON,2023-05-03 14:22:23,2023-05-03 14:01:54
JAMES SHAW,2023-05-03 14:22:56,2023-05-03 14:01:54
SPEAKER,2023-05-03 14:23:43,2023-05-03 14:01:54
DAVID PARKER,2023-05-03 16:21:34,2023-05-03 16:21:34
SPEAKER,2023-05-03 16:22:15,2023-05-03 16:21:34
CHAIRPERSON,2023-05-03 16:22:58,2023-05-03 16:22:58
JAN TINETTI,2023-05-02 14:01:13,2023-05-02 14:01:13
SPEAKER,2023-05-02 14:56:03,2023-05-02 14:56:03
GRANT ROBERTSON,2023-05-02 14:57:20,2023-05-02 14:57:20
SPEAKER,2023-05-02 14:58:23,2023-05-02 14:57:20
CHAIRPERSON,2023-05-02 14:58:55,2023-05-02 14:58:55
SPEAKER,2023-04-06 14:00:56,2023-04-06 14:00:56
MAUREEN PUGH,2023-04-06 14:03:19,2023-04-06 14:03:19
SPEAKER,2023-04-06 14:03:52,2023-04-06 14:03:19
TANGI UTIKERE,2023-04-06 15:45:36,2023-04-06 15:45:36
DEPUTY SPEAKER,na,2023-04-06 15:45:36
TIM van de MOLEN,2023-04-06 15:46:14,2023-04-06 15:45:36
TANGI UTIKERE,2023-04-06 15:46:12,2023-04-06 15:45:36
DEPUTY SPEAKER,2023-04-06 15:46:18,2023-04-06 15:45:36
DAVID PARKER,2023-04-05 14:00:58,2023-04-05 14:00:58
KIRITAPU ALLAN,2023-04-04 14:58:51,2023-04-04 14:58:51
SPEAKER,2023-04-04 15:02:21,2023-04-04 14:58:51
SPEAKER,2023-03-30 14:53:56,2023-03-30 14:53:56
Dr ELIZABETH KEREKERE,2023-03-30 09:17:19,2023-03-30 09:17:19
ASSISTANT SPEAKER,2023-03-30 09:18:01,2023-03-30 09:17:19
ASSISTANT SPEAKER,2023-03-30 09:18:20,2023-03-30 09:17:19
NICOLE McKEE,2023-03-29 11:43:08,2023-03-29 11:43:08
ASSISTANT SPEAKER,2023-03-29 11:43:41,2023-03-29 11:43:08
SPEAKER,2023-03-29 14:00:18,2023-03-29 14:00:18
CHRISTOPHER LUXON,2023-03-29 14:51:16,2023-03-29 14:51:16
SPEAKER,2023-03-29 14:51:38,2023-03-29 14:51:16
DAVID SEYMOUR,2023-03-29 23:35:19,2023-03-29 23:35:19
ASSISTANT SPEAKER,2023-03-30 00:44:00,2023-03-29 23:35:19
SPEAKER,2023-03-28 14:01:02,2023-03-28 14:01:02
SPEAKER,2023-03-16 14:04:38,2023-03-16 14:04:38
MICHAEL WOODHOUSE,2023-03-15 14:47:38,2023-03-15 14:47:38
KIERAN McANULTY,2023-03-15 14:51:49,2023-03-15 14:47:38
MICHAEL WOODHOUSE,2023-03-15 14:51:49,2023-03-15 14:47:38
KIERAN McANULTY,2023-03-15 14:51:49,2023-03-15 14:47:38
DAVID SEYMOUR,2023-03-15 14:51:49,2023-03-15 14:47:38
SPEAKER,2023-03-15 14:52:08,2023-03-15 14:47:38
SPEAKER,2023-03-15 14:53:45,2023-03-15 14:53:45
DAVID SEYMOUR,2023-03-15 14:54:56,2023-03-15 14:53:45
DAVID SEYMOUR,2023-03-15 14:55:40,2023-03-15 14:53:45
SPEAKER,2023-03-15 14:55:39,2023-03-15 14:53:45
CHRIS BISHOP,2023-03-15 14:56:11,2023-03-15 14:53:45
SPEAKER,2023-03-15 14:56:06,2023-03-15 14:53:45
DAVID SEYMOUR,2023-03-15 14:57:28,2023-03-15 14:53:45
SPEAKER,2023-03-15 14:57:28,2023-03-15 14:53:45
SPEAKER,2023-03-15 14:57:34,2023-03-15 14:53:45
CHAIRPERSON,2023-03-14 19:26:03,2023-03-14 19:26:03
SPEAKER,2023-03-09 14:01:21,2023-03-09 14:01:21
na,na,2023-03-09 14:01:21
TANGI UTIKERE,2023-03-09 14:03:22,2023-03-09 14:03:22
SPEAKER,2023-03-09 14:03:56,2023-03-09 14:03:22
SPEAKER,2023-03-09 14:52:25,2023-03-09 14:52:25
SPEAKER,2023-03-08 14:00:57,2023-03-08 14:00:57
GRANT ROBERTSON,2023-03-08 19:25:22,2023-03-08 19:25:22
SPEAKER,2023-03-07 14:01:09,2023-03-07 14:01:09
SPEAKER,2023-03-07 14:04:23,2023-03-07 14:01:09
CHRIS HIPKINS,2023-03-07 14:08:41,2023-03-07 14:08:41
SPEAKER,2023-03-07 14:08:42,2023-03-07 14:08:41
TODD McCLAY,2023-02-23 14:01:48,2023-02-23 14:01:48
SPEAKER,2023-02-23 14:02:02,2023-02-23 14:01:48
SPEAKER,2023-02-22 14:00:57,2023-02-22 14:00:57
JAMES SHAW,2023-02-22 21:17:40,2023-02-22 21:17:40
JAMES SHAW,2023-02-22 21:23:10,2023-02-22 21:23:10
SPEAKER,2023-02-21 14:02:00,2023-02-21 14:02:00
SPEAKER,2023-02-21 14:02:06,2023-02-21 14:02:06
SPEAKER,2023-02-14 14:01:20,2023-02-14 14:01:20
TAMA POTAKA,2023-02-14 14:02:09,2023-02-14 14:01:20
Hon GRANT ROBERTSON,2023-02-14 14:03:01,2023-02-14 14:03:01
SPEAKER,2023-02-14 14:06:34,2023-02-14 14:03:01
KIERAN McANULTY,2023-02-14 14:17:57,2023-02-14 14:17:57
SPEAKER,2022-12-14 14:01:05,2022-12-14 14:01:05
JACINDA ARDERN,2022-12-14 14:02:56,2022-12-14 14:02:56
JACINDA ARDERN (Prime Minister) on behalf of the Leader of the House,2022-12-14 15:51:05,2022-12-14 15:51:05
SPEAKER,2022-12-14 16:00:22,2022-12-14 15:51:05
EUGENIE SAGE,2022-12-14 10:36:53,2022-12-14 10:36:53
SPEAKER,2022-12-14 10:37:21,2022-12-14 10:36:53
NANAIA MAHUTA,2022-12-13 19:00:28,2022-12-13 19:00:28
CHRIS HIPKINS,2022-12-08 14:54:57,2022-12-08 14:54:57
SPEAKER,2022-12-08 14:55:43,2022-12-08 14:54:57
CHRIS HIPKINS,2022-12-08 14:56:04,2022-12-08 14:56:04
SPEAKER,2022-12-08 14:56:58,2022-12-08 14:56:04
RACHEL BOYACK,2022-12-08 10:57:39,2022-12-08 10:57:39
SPEAKER,2022-12-07 14:01:33,2022-12-07 14:01:33
SPEAKER,2022-12-07 14:57:27,2022-12-07 14:57:27
DEPUTY SPEAKER,2022-12-07 16:01:16,2022-12-07 16:01:16
SPEAKER,2022-12-06 14:01:17,2022-12-06 14:01:17
SPEAKER,2022-12-06 15:06:36,2022-12-06 15:06:36
ASSISTANT SPEAKER,2022-11-24 17:51:47,2022-11-24 17:51:47
CHRIS HIPKINS,2022-11-22 14:55:14,2022-11-22 14:55:14
SPEAKER,2022-11-17 14:01:00,2022-11-17 14:01:00
EUGENIE SAGE,2022-11-17 15:09:45,2022-11-17 15:09:45
SPEAKER,2022-11-16 14:01:56,2022-11-16 14:01:56
SPEAKER,2022-11-15 14:01:05,2022-11-15 14:01:05
GRANT ROBERTSON,2022-11-15 14:01:27,2022-11-15 14:01:27
SPEAKER,2022-11-15 14:06:19,2022-11-15 14:01:27
SPEAKER,2022-11-15 14:17:33,2022-11-15 14:17:33
ANDREW LITTLE,2022-11-15 14:21:53,2022-11-15 14:21:53
SHANAN HALBERT,2022-11-10 14:58:08,2022-11-10 14:58:08
ASSISTANT SPEAKER,2022-11-10 15:08:34,2022-11-10 14:58:08
LOUISE UPSTON,2022-11-10 10:44:35,2022-11-10 10:44:35
SPEAKER,2022-11-08 14:01:19,2022-11-08 14:01:19
NANAIA MAHUTA,2022-10-27 14:03:50,2022-10-27 14:03:50
SPEAKER,2022-10-27 15:00:10,2022-10-27 15:00:10
JENNY SALESA,2022-10-27 15:00:30,2022-10-27 15:00:10
SPEAKER,2022-10-27 15:09:49,2022-10-27 15:00:10
Dr AYESHA VERRALL,2022-10-26 20:24:58,2022-10-26 20:24:58
ASSISTANT SPEAKER,2022-10-26 20:27:44,2022-10-26 20:24:58
SPEAKER,2022-10-25 15:07:46,2022-10-25 15:07:46
SPEAKER,2022-10-25 15:08:59,2022-10-25 15:07:46
SPEAKER,2022-10-19 14:01:05,2022-10-19 14:01:05
RAWIRI WAITITI,2022-10-19 14:02:35,2022-10-19 14:02:35
SPEAKER,2022-10-19 15:10:11,2022-10-19 15:10:11
SPEAKER,2022-10-18 15:11:58,2022-10-18 15:11:58
BROOKE VAN VELDEN,2022-10-18 15:13:02,2022-10-18 15:11:58
SPEAKER,2022-09-29 14:01:27,2022-09-29 14:01:27
Marja Lubeck,2022-09-29 14:47:39,2022-09-29 14:47:39
SPEAKER,2022-09-29 14:57:49,2022-09-29 14:47:39
SPEAKER,2022-09-28 14:01:18,2022-09-28 14:01:18
RINO TIRIKATENE,2022-09-22 14:01:03,2022-09-22 14:01:03
CHRIS HIPKINS,2022-09-22 14:57:34,2022-09-22 14:57:34
SPEAKER,2022-09-22 14:58:38,2022-09-22 14:57:34
MICHAEL WOODHOUSE,2022-09-22 14:58:40,2022-09-22 14:57:34
CHRIS HIPKINS,2022-09-21 19:53:21,2022-09-21 19:53:21
SPEAKER,2022-09-20 14:01:06,2022-09-20 14:01:06
SPEAKER,2022-09-20 14:58:34,2022-09-20 14:58:34
DAVID SEYMOUR,2022-09-20 14:59:50,2022-09-20 14:58:34
SPEAKER,2022-09-20 14:59:57,2022-09-20 14:58:34
NANAIA MAHUTA,2022-09-01 14:00:54,2022-09-01 14:00:54
CHAIRPERSON,2022-09-01 15:07:39,2022-09-01 15:07:39
CHAIRPERSON,2022-08-30 14:52:14,2022-08-30 14:52:14
CHRIS HIPKINS,2022-08-25 14:04:14,2022-08-25 14:04:14
SPEAKER,2022-08-25 14:06:51,2022-08-25 14:04:14
SPEAKER,2022-08-23 14:01:06,2022-08-23 14:01:06
SPEAKER,2022-08-23 14:01:33,2022-08-23 14:01:33
TĀMATI COFFEY,2022-08-23 14:02:11,2022-08-23 14:02:11
CHRIS BISHOP,2022-08-23 15:11:07,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:32,2022-08-23 15:11:07
CHRIS BISHOP,2022-08-23 15:11:34,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:49,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:54,2022-08-23 15:11:54
CHAIRPERSON,2022-08-23 15:14:32,2022-08-23 15:14:32
DAVID PARKER,2022-08-23 21:06:50,2022-08-23 21:06:50
ASSISTANT SPEAKER,2022-08-23 21:18:02,2022-08-23 21:06:50
SPEAKER,2022-08-10 14:01:03,2022-08-10 14:01:03
SPEAKER,2022-08-10 14:01:25,2022-08-10 14:01:25
DAVID SEYMOUR,2022-08-10 14:02:51,2022-08-10 14:01:25
CHAIRPERSON,2022-08-10 16:12:48,2022-08-10 16:12:48
GRANT ROBERTSON,2022-08-09 14:00:55,2022-08-09 14:00:55
CHRIS HIPKINS,2022-08-09 15:12:45,2022-08-09 15:12:45
CHAIRPERSON,2022-08-03 12:29:03,2022-08-03 12:29:03
DEPUTY SPEAKER,2022-07-28 14:58:20,2022-07-28 14:58:20
JACQUI DEAN,2022-08-25 14:29:12,2022-07-28 14:58:20
ASSISTANT SPEAKER,2022-07-28 15:08:55,2022-07-28 14:58:20
DAVID PARKER,2022-07-28 15:19:10,2022-07-28 15:19:10
JAN LOGIE,2022-07-28 15:19:45,2022-07-28 15:19:45
CHAIRPERSON,2022-07-28 12:53:43,2022-07-28 12:53:43
NANAIA MAHUTA,2022-07-27 14:00:55,2022-07-27 14:00:55
SPEAKER,2022-07-26 14:00:49,2022-07-26 14:00:49
SPEAKER,2022-07-26 14:00:59,2022-07-26 14:00:49
SPEAKER,2022-07-26 14:02:50,2022-07-26 14:02:50
SPEAKER,2022-07-26 15:09:23,2022-07-26 15:09:23
CHRIS HIPKINS,2022-06-30 14:52:53,2022-06-30 14:52:53
SPEAKER,2022-06-22 11:52:08,2022-06-22 11:52:08
CHRIS HIPKINS,2022-06-28 17:05:10,2022-06-28 17:05:10
DEPUTY SPEAKER,2022-06-28 17:15:06,2022-06-28 17:05:10
Dr AYESHA VERRALL,2022-06-28 17:20:37,2022-06-28 17:20:37
DEPUTY SPEAKER,2022-06-28 17:20:37,2022-06-28 17:20:37
ASSISTANT SPEAKER,2022-06-28 19:14:47,2022-06-28 19:14:47
MICHAEL WOOD (Minister of Immigration) on behalf of the Leader of the House,2022-06-22 15:58:12,2022-06-22 15:58:12
SPEAKER,2022-06-21 14:01:08,2022-06-21 14:01:08
SPEAKER,2022-06-21 14:02:19,2022-06-21 14:02:19
ANDREW LITTLE,2022-06-21 14:05:17,2022-06-21 14:05:17
NANAIA MAHUTA,2022-06-08 14:00:54,2022-06-08 14:00:54
JACINDA ARDERN,2022-06-07 14:07:41,2022-06-07 14:07:41
Dr AYESHA VERRALL,2022-06-07 15:11:50,2022-06-07 15:11:50
DEPUTY SPEAKER,2022-06-07 15:15:00,2022-06-07 15:11:50
MARJA LUBECK,2022-06-02 14:49:10,2022-06-02 14:49:10
DEPUTY SPEAKER,2022-05-31 14:01:31,2022-05-31 14:01:31
DEPUTY SPEAKER,2022-05-31 14:02:01,2022-05-31 14:02:01
DEPUTY SPEAKER,2022-05-31 14:04:04,2022-05-31 14:02:01
GRANT ROBERTSON,2022-05-19 14:05:37,2022-05-19 14:05:37
JAMES SHAW,2022-05-17 14:02:31,2022-05-17 14:02:31
CHRIS HIPKINS,2022-05-17 15:20:29,2022-05-17 15:20:29
SPEAKER,2022-05-12 14:01:00,2022-05-12 14:01:00
EUGENIE SAGE,2022-05-12 09:00:30,2022-05-12 09:00:30
ASSISTANT SPEAKER,2022-05-12 09:10:33,2022-05-12 09:00:30
SPEAKER,2022-05-11 15:04:13,2022-05-11 15:04:13
SPEAKER,2022-05-10 14:01:28,2022-05-10 14:01:28
SPEAKER,2022-05-10 14:03:36,2022-05-10 14:03:36
SPEAKER,2022-05-10 15:12:06,2022-05-10 15:12:06
ASSISTANT SPEAKER,2022-05-10 21:57:50,2022-05-10 21:57:50
ANDREW LITTLE,2022-05-05 15:06:38,2022-05-05 15:06:38
DEPUTY SPEAKER,2022-05-05 15:09:27,2022-05-05 15:06:38
SPEAKER,2022-05-04 14:56:41,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 14:57:09,2022-05-04 14:56:41
DAVID SEYMOUR,2022-05-04 14:58:58,2022-05-04 14:56:41
CHRIS BISHOP,2022-05-04 15:00:23,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:00:59,2022-05-04 14:56:41
CHRIS BISHOP,2022-05-04 15:01:49,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:02:20,2022-05-04 14:56:41
GERRY BROWNLEE,2022-05-04 15:02:28,2022-05-04 14:56:41
DAVID SEYMOUR,2022-05-04 15:03:53,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:04:11,2022-05-04 14:56:41
